OG	symbol
OG0000001	VAX2
OG0000002	SEMA5B
OG0000012	CRX, VSX1, VSX2, RAX2
OG0000026	GABRR2, GLRA1
OG0000056	GUCY2F, GUCY2D
OG0000057	CYP1B1
OG0000060	SOX14
OG0000063	RRH, OPN5, RHO, OPN4
OG0000093	CDH23
OG0000098	CRYAA
OG0000129	PAX2
OG0000178	RDH5
OG0000218	MIP
OG0000241	GRM6, GRM8
OG0000316	RIMS1
OG0000380	ATP8A2
OG0000389	EYA4, EYA3
OG0000391	ZIC2
OG0000433	TYR
OG0000457	ABLIM1
OG0000470	GNAT1, GNAT2
OG0000483	CACNA2D4
OG0000489	EML2
OG0000570	CYP4V2
OG0000626	NRL
OG0000631	BBS2
OG0000698	NR2E3, NR2E1
OG0000731	AOC2
OG0000772	CRYZ
OG0000847	MYO7A
OG0000854	SIX6, SIX3
OG0000877	EYS
OG0000883	HPS1
OG0000928	IRX5
OG0000941	DRAM2
OG0000950	RDH12, RDH11
OG0000974	SFRP5
OG0001016	TIMP3
OG0001088	DLL4
OG0001090	TH
OG0001123	RDH10
OG0001148	CLDN19
OG0001196	CNGA3, CNGB3
OG0001342	ATF6
OG0001413	HSF4
OG0001731	TULP1, TULP2
OG0001914	KIFC3
OG0001924	PPEF2
OG0002020	WHRN
OG0002175	BBS9
OG0002438	RABGGTA
OG0002585	POU4F3
OG0002624	MYO5A
OG0002672	AIPL1
OG0002845	NXNL2
OG0003072	ARL6
OG0003169	CNNM4
OG0003238	RDH8
OG0003400	LUM
OG0003469	BBS4
OG0003517	RPGR
OG0003740	MYO3B, MYO3A
OG0003803	PITPNA
OG0004293	SLC24A2
OG0004373	USH1G
OG0004423	DNAJC19
OG0004548	OPA1
OG0004579	USH2A
OG0004584	FAM161A
OG0004757	FSCN2
OG0004843	PPT1
OG0004844	NOB1
OG0004941	REEP6
OG0004975	COL18A1
OG0005004	CHRNB2
OG0005154	BBS7
OG0005610	BBS1
OG0005663	WDR36
OG0005690	OPA3
OG0006019	LAMB2
OG0006064	OAT
OG0006520	USH1C
OG0006759	LAMC3
OG0006862	RABGGTB
OG0006917	PDE6D
OG0007009	PDCL, PDC
OG0007600	UNC119
OG0007803	BBS5
OG0007959	ADGRV1
OG0008892	MKKS
OG0009687	RP2
OG0010623	RLBP1
OG0010639	GJC1
OG0011833	CRYGA, CRYGB, CRYGC
OG0011889	RP1
OG0017069	GJD2
