Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Hs_planula_t.47300..1369-698,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.47300,1369-698,STG_1_DP-17,18.7703,974.023
Hs_planula_t.47300..1369-698,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.47300,1369-698,STG_1_DP-23,16.9695,945.453
Hs_planula_t.47300..1369-698,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.47300,1369-698,STG_3_DP-26,16.6732,1425.98
Hs_planula_t.47300..1369-698,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.47300,1369-698,STG_1_DP-18,16.5558,974.178
Hs_planula_t.47300..1369-698,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.47300,1369-698,STG_2_DP-24,16.3125,1047.76
Hs_planula_t.47300..1369-698,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.47300,1369-698,STG_3_DP-25,15.7696,851.506
Hs_planula_t.47300..1369-698,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.47300,1369-698,STG_3_DP-21,14.9171,808.437
Hs_planula_t.47300..1369-698,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.47300,1369-698,STG_2_DP-20,14.5341,992.599
Hs_planula_t.47300..1369-698,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.47300,1369-698,STG_4_DP-22,12.6301,771.32
Hs_planula_t.47300..1369-698,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.47300,1369-698,STG_4_DP-28,12.3521,803.274
Hs_planula_t.47300..1369-698,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.47300,1369-698,STG_2_DP-19,12.2786,800.814
Hs_planula_t.47300..1369-698,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.47300,1369-698,STG_4_DP-27,11.6395,646.331
Hs_planula_t.85107..1378-566,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.85107,1378-566,STG_1_DP-23,10.9205,277.261
Hs_planula_t.50049..190-774,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.50049,190-774,STG_2_DP-24,10.9101,108.385
Hs_planula_t.50049..190-774,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.50049,190-774,STG_1_DP-23,9.50231,79.4819
Hs_planula_t.85107..1378-566,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.85107,1378-566,STG_2_DP-19,9.37948,276.315
Hs_planula_t.50049..190-774,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.50049,190-774,STG_3_DP-21,8.35318,64.7992
Hs_planula_t.50049..190-774,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.50049,190-774,STG_1_DP-18,8.17928,72.3842
Hs_planula_t.50049..190-774,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.50049,190-774,STG_1_DP-17,7.84173,60.8684
Hs_planula_t.87239..1008-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.87239,1008-103,STG_1_DP-23,7.65263,112.525
Hs_planula_t.50049..190-774,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.50049,190-774,STG_3_DP-26,7.57163,88.9768
Hs_planula_t.85107..1378-566,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.85107,1378-566,STG_1_DP-18,7.4539,198.072
Hs_planula_t.85107..1378-566,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.85107,1378-566,STG_1_DP-17,7.02191,161.971
Hs_planula_t.50049..190-774,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.50049,190-774,STG_3_DP-25,6.84968,50.1154
Hs_planula_t.85107..1378-566,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.85107,1378-566,STG_3_DP-25,6.72042,164.236
Hs_planula_t.87239..1008-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.87239,1008-103,STG_1_DP-17,6.46994,86.8761
Hs_planula_t.74880..126-824,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74880,126-824,STG_3_DP-21,5.61064,106.622
Hs_planula_t.87239..1008-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.87239,1008-103,STG_1_DP-18,5.57748,89.0053
Hs_planula_t.24723..1175-555,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,1175-555,STG_3_DP-21,5.44425,596.287
Hs_planula_t.24723..9401-9096,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,9401-9096,STG_3_DP-21,5.44425,596.287
Hs_planula_t.24723..1175-555,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,1175-555,STG_3_DP-25,5.38969,591.854
Hs_planula_t.24723..9401-9096,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,9401-9096,STG_3_DP-25,5.38969,591.854
Hs_planula_t.85107..1378-566,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.85107,1378-566,STG_3_DP-21,5.3777,131.331
Hs_planula_t.85107..1378-566,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.85107,1378-566,STG_2_DP-20,5.33186,161.431
Hs_planula_t.85107..1378-566,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.85107,1378-566,STG_4_DP-28,5.27044,150.545
Hs_planula_t.74880..126-824,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74880,126-824,STG_2_DP-24,5.021,114.383
Hs_planula_t.50049..190-774,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.50049,190-774,STG_2_DP-20,4.99505,51.2443
Hs_planula_t.50049..190-774,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.50049,190-774,STG_4_DP-22,4.9288,44.3313
Hs_planula_t.24723..1175-555,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,1175-555,STG_2_DP-24,4.90921,623.744
Hs_planula_t.24723..9401-9096,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,9401-9096,STG_2_DP-24,4.90921,623.744
Hs_planula_t.24723..1175-555,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,1175-555,STG_1_DP-23,4.87656,526.435
Hs_planula_t.24723..9401-9096,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,9401-9096,STG_1_DP-23,4.87656,526.435
Hs_planula_t.85107..1378-566,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.85107,1378-566,STG_3_DP-26,4.69005,180.434
Hs_planula_t.50049..190-774,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.50049,190-774,STG_2_DP-19,4.65797,44.6105
Hs_planula_t.74880..126-824,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74880,126-824,STG_4_DP-22,4.58412,97.9006
Hs_planula_t.85107..1378-566,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.85107,1378-566,STG_2_DP-24,4.57052,135.175
Hs_planula_t.74880..126-824,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74880,126-824,STG_2_DP-19,4.46728,104.058
Hs_planula_t.74880..126-824,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74880,126-824,STG_3_DP-25,4.44034,82.7851
Hs_planula_t.74880..126-824,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74880,126-824,STG_2_DP-20,4.34395,105.461
Hs_planula_t.85107..1378-566,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.85107,1378-566,STG_4_DP-22,4.27077,115.881
Hs_planula_t.74880..126-824,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74880,126-824,STG_4_DP-27,4.26106,82.4626
Hs_planula_t.24723..1175-555,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,1175-555,STG_3_DP-26,4.16533,732.697
Hs_planula_t.24723..9401-9096,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,9401-9096,STG_3_DP-26,4.16533,732.697
Hs_planula_t.50049..190-774,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.50049,190-774,STG_4_DP-27,4.15321,31.869
Hs_planula_t.74880..126-824,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74880,126-824,STG_3_DP-26,4.07192,121.723
Hs_planula_t.87239..1008-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.87239,1008-103,STG_2_DP-24,4.04125,69.8919
Hs_planula_t.87239..1008-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.87239,1008-103,STG_2_DP-19,3.98632,68.5499
Hs_planula_t.74881..1377-721,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74881,1377-721,STG_3_DP-26,3.92199,136.815
Hs_planula_t.74881..1377-721,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74881,1377-721,STG_3_DP-21,3.92038,83.7884
Hs_planula_t.87239..1008-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.87239,1008-103,STG_2_DP-20,3.90704,69.2449
Hs_planula_t.87239..1008-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.87239,1008-103,STG_3_DP-25,3.64789,48.6833
Hs_planula_t.40086..1424-483,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40086,1424-483,STG_2_DP-19,3.44565,81.8104
Hs_planula_t.74881..1377-721,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74881,1377-721,STG_4_DP-27,3.41624,76.1007
Hs_planula_t.40948..792-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40948,792-103,STG_1_DP-17,3.40008,38.1239
Hs_planula_t.24723..1175-555,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,1175-555,STG_4_DP-22,3.35134,399.474
Hs_planula_t.24723..9401-9096,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,9401-9096,STG_4_DP-22,3.35134,399.474
Hs_planula_t.40948..792-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40948,792-103,STG_1_DP-23,3.24263,39.6598
Hs_planula_t.74881..1377-721,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74881,1377-721,STG_4_DP-22,3.22031,76.2427
Hs_planula_t.74881..1377-721,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74881,1377-721,STG_2_DP-24,3.21049,80.5482
