gene_acc	Homo_seqid	OG	symbol	Hydractinia_seqid
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.10662
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.11148
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.14300
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.14425
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.1475
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.16351
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.19641
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.2260
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.23740
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.41167
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.4804
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.48878
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.49344
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.49647
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.50947
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.51234
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.52401
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.5670
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.83491
NP_001256.4	Homo_43601	OG0000001	CDX2	Hs_planula_t.84650
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.10662
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.11148
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.14300
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.14425
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.1475
