Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Hs_planula_t.35573..756-3677,OG0001196,CNGA3;CNGB3,Hs_planula_t.35573,756-3677,STG_3_DP-25,2.44405,217.792
Hs_planula_t.35573..756-3677,OG0001196,CNGA3;CNGB3,Hs_planula_t.35573,756-3677,STG_3_DP-26,2.43258,345.292
Hs_planula_t.35573..756-3677,OG0001196,CNGA3;CNGB3,Hs_planula_t.35573,756-3677,STG_3_DP-21,2.37554,216.729
Hs_planula_t.35573..756-3677,OG0001196,CNGA3;CNGB3,Hs_planula_t.35573,756-3677,STG_4_DP-27,2.0305,187.953
Hs_planula_t.35573..756-3677,OG0001196,CNGA3;CNGB3,Hs_planula_t.35573,756-3677,STG_2_DP-19,1.86391,206.183
Hs_planula_t.35573..756-3677,OG0001196,CNGA3;CNGB3,Hs_planula_t.35573,756-3677,STG_2_DP-20,1.70664,195.544
Hs_planula_t.35573..756-3677,OG0001196,CNGA3;CNGB3,Hs_planula_t.35573,756-3677,STG_4_DP-22,1.67597,170.519
Hs_planula_t.35573..756-3677,OG0001196,CNGA3;CNGB3,Hs_planula_t.35573,756-3677,STG_1_DP-23,1.60293,152.296
Hs_planula_t.35573..756-3677,OG0001196,CNGA3;CNGB3,Hs_planula_t.35573,756-3677,STG_2_DP-24,1.38051,153.141
Hs_planula_t.35573..756-3677,OG0001196,CNGA3;CNGB3,Hs_planula_t.35573,756-3677,STG_4_DP-28,1.34761,144.053
Hs_planula_t.15325..1-420,OG0001196,CNGA3;CNGB3,Hs_planula_t.15325,1-420,STG_2_DP-19,0.903575,7.67039
Hs_planula_t.35573..756-3677,OG0001196,CNGA3;CNGB3,Hs_planula_t.35573,756-3677,STG_1_DP-17,0.740834,64.975
Hs_planula_t.15325..1-420,OG0001196,CNGA3;CNGB3,Hs_planula_t.15325,1-420,STG_2_DP-24,0.735301,6.05418
Hs_planula_t.15325..1-420,OG0001196,CNGA3;CNGB3,Hs_planula_t.15325,1-420,STG_3_DP-21,0.731819,5.02768
Hs_planula_t.35573..756-3677,OG0001196,CNGA3;CNGB3,Hs_planula_t.35573,756-3677,STG_1_DP-18,0.691228,69.6104
Hs_planula_t.15325..1-420,OG0001196,CNGA3;CNGB3,Hs_planula_t.15325,1-420,STG_3_DP-25,0.676641,4.34388
Hs_planula_t.15325..1-420,OG0001196,CNGA3;CNGB3,Hs_planula_t.15325,1-420,STG_4_DP-28,0.58518,4.4968
Hs_planula_t.15325..1-420,OG0001196,CNGA3;CNGB3,Hs_planula_t.15325,1-420,STG_2_DP-20,0.530558,4.71114
Hs_planula_t.15325..1-420,OG0001196,CNGA3;CNGB3,Hs_planula_t.15325,1-420,STG_4_DP-22,0.464106,3.69365
Hs_planula_t.15325..1-420,OG0001196,CNGA3;CNGB3,Hs_planula_t.15325,1-420,STG_1_DP-17,0.0,0.0
Hs_planula_t.15325..1-420,OG0001196,CNGA3;CNGB3,Hs_planula_t.15325,1-420,STG_4_DP-27,0.0,0.0
Hs_planula_t.15325..1-420,OG0001196,CNGA3;CNGB3,Hs_planula_t.15325,1-420,STG_1_DP-23,0.0,0.0
Hs_planula_t.15325..1-420,OG0001196,CNGA3;CNGB3,Hs_planula_t.15325,1-420,STG_3_DP-26,0.0,0.0
Hs_planula_t.15325..1-420,OG0001196,CNGA3;CNGB3,Hs_planula_t.15325,1-420,STG_1_DP-18,0.0,0.0
