OG	symbol
OG0000001	CDX2, DBX1, NKX2-6, NKX6-3, NKX2-3, GSX2, EMX1, EMX2, EN1, EN2, GSX1, VAX2, NKX2-8, GBX1, TLX3, HHEX, HLX, HMX1, HMX2, TLX1, TLX2, HOXA1, HOXA2, HOXA4, HOXA5, HOXB1, HOXB2, HOXB4, HOXB5, HOXC4, HOXC5, HOXD4, HMX3, BARHL2, NKX1-2, BSX, MEOX2, DBX2, MSX1, MSX2, NKX2-2, NKX3-1, NKX6-1, NKX1-1, BARX1, BARHL1, NKX2-4, NKX2-1, NKX6-2, BARX2
OG0000012	CRX, OTP, GSC2, VSX1, VSX2, UNCX, PHOX2A, OTX1, OTX2, PRRX2, PITX1, PITX2, PITX3, PRRX1, PROP1, DRGX, SHOX, SHOX2, RAX2, PHOX2B
OG0000017	FOXN3, FOXD4L1, FOXK1, FOXG1, FOXD1, FOXD4, FOXL1, FOXE3, FOXJ1, FOXC2, FOXE1, FOXD2, FOXS1, FOXD3, FOXB1, FOXD4L3, FOXA1, FOXA2, FOXA3, FOXN2, FOXD4L4, FOXK2, FOXI2, FOXB2, FOXD4L6, FOXD4L5, FOXL2
OG0000025	THAP12
OG0000031	ASCL4, BHLHA15, ATOH7, FERD3L, PTF1A, FIGLA, LYL1, ASCL1, ASCL2, ATOH1, NEUROG1, NHLH1, NHLH2, NEUROG3, NEUROD1, ASCL3, NEUROD4, NEUROG2, SCX, ASCL5, TAL1, TAL2, TCF15, TCF21, TWIST1, ATOH8, MSC
OG0000043	PGBD1
OG0000051	SP9, KLF2, KLF1, KLF12, SP7, KLF6, KLF14, SP8, SP5, KLF3, KLF5, KLF10, SP6, KLF7, KLF4
OG0000060	SOX21, CIC, SOX8, SOX18, SOX17, SOX1, SOX2, SOX3, SOX9, SOX10, SOX15, SRY, SOX7, SOX14
OG0000082	ZBED6, ZBED1, ZBED4
OG0000089	PRDM7, PRDM5, PRDM4, PRDM9, PRDM11, PRDM12, PRDM1, PRDM6
OG0000111	THAP1, THAP9, THAP2, THAP3
OG0000121	WNT5A
OG0000128	TBX10, TBX20, TBX1, TBX2, TBX5, TBX4
OG0000129	PAX1, PAX2, PAX3, PAX5, PAX7, PAX9, PAX8
OG0000137	TP53, TP73, TP63
OG0000162	TCF12
OG0000181	TLE4
OG0000182	MEIS1, MEIS2, PKNOX1, MEIS3, PKNOX2
OG0000212	ZNF28
OG0000229	BMPR1A
OG0000256	E2F1, E2F2, E2F3, E2F4, E2F5, E2F6
OG0000260	DMRT1, DMRTA1
OG0000276	CREB1, ATF1
OG0000288	ELF1, ELF2, ETV3, SPDEF
OG0000328	ESRRA, ESRRB, ESRRG
OG0000343	PCGF3, PCGF5
OG0000353	LITAF
OG0000356	FOXP4
OG0000359	CERS3, CERS6
OG0000367	NFKB1, NFKB2, REL, RELA, RELB
OG0000372	SMAD1, SMAD2, SMAD3, SMAD5, SMAD9
OG0000391	ZIC1, ZIC2, ZIC3, ZIC4, GLIS2, ZIC5
OG0000418	ETS1, ETV1, ETV4, ETV5
OG0000424	ATRX
OG0000458	ZNFX1
OG0000492	IRF8, IRF1, IRF2, IRF4
OG0000513	TFEC, MITF, TFE3, TFEB
OG0000516	MAEL
OG0000532	RUNX1T1, CBFA2T3, CBFA2T2
OG0000546	GABPB1
OG0000547	LEF1, TCF7
OG0000550	ZNF280A, ZNF280B, POGZ, ZNF280C
OG0000591	NSD2
OG0000608	HES1, HES5, HES2, HES4
OG0000610	EGR1, EGR3
OG0000616	PCBP1, PCBP3
OG0000626	MAFF, MAFA, MAFG, NRL, MAFK, MAFB
OG0000627	MYEF2
OG0000634	GON4L
OG0000647	LMO2, LMO4
OG0000656	STAT5A, STAT5B, STAT6
OG0000661	DPF2
OG0000695	ENO1
OG0000697	SCML2
OG0000698	NR2E3, NR2E1
OG0000722	NFIA, NFIC, NFIX
OG0000727	GRHL1, GRHL3, GRHL2
OG0000728	ZBED9
OG0000752	DBP, HLF, TEF
OG0000761	MLXIP, MLXIPL
OG0000817	ZNF385A
OG0000818	MIER3, MIER2, MIER1
OG0000846	CTNNB1
OG0000849	EBF1, EBF3, EBF4, EBF2
OG0000854	SIX2, SIX6, SIX1, SIX3
OG0000856	CREB3, CREB3L4, CREB3L3, CREB3L1
OG0000859	TFDP1, TFDP2
OG0000864	FUBP1, FUBP3
OG0000867	NCOR1, NCOR2
OG0000891	MLLT10
OG0000892	TRERF1, ZNF541, MIDEAS, ELMSAN1
OG0000906	ZBED5
OG0000911	DMTF1
OG0000928	IRX5, IRX2, IRX4, IRX6, IRX3, IRX1
OG0000934	STAG1
OG0000955	CARHSP1
OG0000961	BRD8
