#Significant genes in DNA Binding Transcription Factor activity (1694 genes in geneset originally) 

        #Homo Gene mods before Actinula join = 861 (Homo Gene Mods)
        #433 Unique Homo OG
        #3530 Hydractinia gene models mapped to genes in this geneset  #Actinula_sensory_percep_light_stim.txt
        #752 Unique Hydractinia Headers
        #304 Unique Hydractinia OG 


# Stage 1 vs Stage 2  
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.47705	OG0000627	MYEF2	-0.947533913	7.72575335	1.19E-06
Hs_planula_t.70805	OG0000849	EBF1	-0.932011914	8.131289541	1.05E-06
Hs_planula_t.48339	OG0000859	TFDP1	-1.881009755	5.209143236	2.31E-14
Hs_planula_t.25178	OG0000934	STAG1	-0.868552036	6.455114045	8.00E-07
Hs_planula_t.27430	OG0001429	ZNF784	-0.963694821	4.938175017	2.98E-07
Hs_planula_t.69265	OG0001840	HNRNPAB	1.085232336	5.145462775	9.72E-10
Hs_planula_t.48371	OG0001910	MYC	-1.02026963	5.884656072	3.89E-08
Hs_planula_t.78088	OG0002637	PURA	0.852934008	9.134120109	4.18E-06
Hs_planula_t.49923	OG0004940	WDHD1	-1.651030885	5.121661584	7.42E-20
Hs_planula_t.47814	OG0005406	FOXN4	-1.366946774	7.339459185	1.36E-09
Hs_planula_t.80358	OG0006034	PARP1	0.94780255	4.578395004	3.67E-06
Hs_planula_t.50013	OG0008039	E2F7	-1.721678594	5.389365808	1.48E-23
Hs_planula_t.78195	OG0009632	GTF3A	1.176521941	5.875594007	4.26E-12



# Stage 1 vs Stage 3
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.35505	OG0000043	PGBD1	0.795079898	4.436337798	2.85E-08
Hs_planula_t.84109	OG0000162	TCF12	-0.78670766	6.613569739	2.91E-10
Hs_planula_t.29942	OG0000260	DMRT1	-0.922230049	4.737379801	1.58E-09
Hs_planula_t.47705	OG0000627	MYEF2	-1.618250578	7.536421402	9.50E-31
Hs_planula_t.81533	OG0000698	NR2E3	-0.952468511	5.558005564	1.33E-10
Hs_planula_t.80291	OG0000728	ZBED9	0.920383253	4.701927771	3.75E-09
Hs_planula_t.92607	OG0000728	ZBED9	0.764519972	5.438929811	3.92E-08
Hs_planula_t.26803	OG0000846	CTNNB1	-0.525852717	10.07747438	1.23E-05
