gene_acc	Homo_seqid	OG	symbol	Hydractinia_seqid
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.10662
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.11148
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.14300
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.14425
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.1475
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.16351
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.19641
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.2260
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.23740
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.41167
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.4804
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.48878
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.49344
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.49647
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.50947
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.51234
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.52401
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.5670
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.83491
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.84650
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.11157
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.14070
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.14120
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.14138
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.14873
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.1654
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.1678
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.17726
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.1779
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.20702
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.21286
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.21287
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.21333
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.21334
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.21336
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.21420
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.21421
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.21422
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.21423
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.22136
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.22137
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.22966
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.22971
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.26325
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.27189
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.27812
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.29896
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.31172
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.31825
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.35500
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.35500
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.36207
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.37881
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.39420
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.39532
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.39927
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.40370
NP_001243276.1	Homo_14307	OG0000002	SEMA5B	Hs_planula_t.40597
